score2017,lifetimescore,full_name,district,party,email,leg_id,url,twitter
100,69,C. Anthony Muse,26,D,anthony.muse@senate.state.md.us,MDL000224,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=muse&stab=01,SenatorMuse
100,81,"Thomas V. Mike Miller, Jr.",27,D,thomas.v.mike.miller@senate.state.md.us,MDL000221,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=miller%20t&stab=01,
100,77,Thomas M. Middleton,28,D,thomas.mcclain.middleton@senate.state.md.us,MDL000220,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=middleton&stab=01,
29,42, Steve Waugh,29,R,Steve.Waugh@senate.state.md.us,MDL000682,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=waugh01&stab=01,senatorwaugh
100,77,John C. Astle,30,D,john.astle@senate.state.md.us,MDL000190,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=astle&stab=01,votejohnastle
71,44,Bryan W. Simonaire,31,R,bryan.simonaire@senate.state.md.us,MDL000233,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=simonaire&stab=01,
100,64,James DeGrange Sr.,32,D,james.degrange@senate.state.md.us,MDL000196,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=degrange&stab=01,
40,33,Edward R. Reilly,33,R,edward.reilly@senate.state.md.us,MDL000230,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=reilly&stab=01,senatorreilly
40,40, Robert Cassilly,34,R,Bob.Cassilly@senate.state.md.us,MDL000646,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=cassilly02&stab=01,cassillyformd34
25,26,Wayne Norman,35,R,wayne.norman@senate.state.md.us,MDL000627,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=norman&stab=01,delegatenorman
0,26,Stephen S. Hershey Jr.,36,R,steve.hershey@senate.state.md.us,MDL000396,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=hershey&stab=01,senatorhershey
0,41,Adelaide C. Eckardt,37,R,delaide.eckardt@senate.state.md.us,MDL000698,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=eckardt&stab=01,
80,74,James N. Mathias Jr.,38,D,james.mathias@senate.state.md.us,MDL000322,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=mathias&stab=01,senjimmathias
100,88,Nancy J. King,39,D,nancy.king@senate.state.md.us,MDL000213,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=king&stab=01,senatornjk
100,94,Barbara Robinson,40,D,barbara.robinson@senate.state.md.us,MDL000228,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=pugh&stab=01,senatorbar
100,87,Nathaniel T. Oaks,41,D,nathaniel.oaks@senate.state.md.us,MDL000204,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=gladden&stab=01,
100,91,James Brochin,42,D,jim.brochin@senate.state.md.us,MDL000192,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=brochin&stab=01,jimbrochin
100,89,Joan Carter Conway,43,D,joan.carter.conway@senate.state.md.us,MDL000194,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=conway%20j&stab=01,conway_joanEHE
100,93,Shirley Nathan-Pulliam ,44,D,shirley.nathan.pulliam@senate.state.md.us,MDL000678,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=nathan&stab=01,
100,79,Nathaniel J. McFadden,45,D,nathaniel.mcfadden@senate.state.md.us,MDL000219,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=mcfadden&stab=01,
100,96,Bill Ferguson,46,D,bill.ferguson@senate.state.md.us,MDL000379,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ferguson&stab=01,SenBillFerg
100,98,Victor R. Ramirez,47,D,victor.ramirez@senate.state.md.us,MDL000344,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ramirez&stab=01,VoteForRamirez
