last_name,updated_at,full_name,id,first_name,middle_name,district,state,party,email,all_ids/0,leg_id,active,photo_url,url,created_at,chamber,offices/0/fax,offices/0/name,offices/0/phone,offices/0/address,offices/0/type,offices/0/email,suffixes,nimsp_candidate_id,votesmart_id,all_ids/1,transparencydata_id,nickname,country,level,nimsp_id,all_ids/2
Muse,2015-03-29 01:26:28,C. Anthony Muse,MDL000224,C. Anthony,,26,md,Democratic,anthony.muse@senate.state.md.us,MDL000224,MDL000224,true,http://mgaleg.maryland.gov/2015RS/images/muse.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=muse&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3092,"420 Miller Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3410",capitol,,,92485,6202,MDL000456,fefc570a028b494984fd0b7eaf61a2b6,,us,state,1486,
Reilly,2015-03-29 01:26:29,Edward R. Reilly,MDL000230,Edward,R.,33,md,Republican,edward.reilly@senate.state.md.us,MDL000230,MDL000230,true,http://mgaleg.maryland.gov/2015RS/images/reilly.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=reilly&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3568,"316 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3067",capitol,,,,87327,MDL000463,8f3b2b255bd249a49b26ecfa5c81bc15,,us,state,,
Brochin,2015-03-29 01:26:29,James Brochin,MDL000192,James,,42,md,Democratic,jim.brochin@senate.state.md.us,MDL000192,MDL000192,true,http://mgaleg.maryland.gov/2015RS/images/brochin.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=brochin&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3648,"221 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3643",capitol,,,92202,36254,MDL000427,a60223a30aa243bbb33af486c0db706a,,us,state,5292,
Middleton,2015-03-29 01:26:29,Thomas M Middleton,MDL000220,Thomas,M,28,md,Democratic,homas.mcclain.middleton@senate.state.md.us,MDL000220,MDL000220,true,http://mgaleg.maryland.gov/2015RS/images/middleton.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=middleton&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3616,"3 East Miller Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3682",capitol,,,92463,6086,MDL000453,b4ffeabc12b540c4bb25b5b1fb54ea1d,,us,state,1428,
Hough,2015-03-29 01:26:28,"Hough, Michael J.",MDL000702,Michael J.,,4,md,Republican,chael.hough@senate.state.md.us,MDL000702,MDL000702,true,http://mgaleg.maryland.gov/2015RS/images/hough.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=hough&stab=01,2015-01-14 21:51:11,upper,,Capitol Office,410-841-3704,"403 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401",capitol,,,,,,,,,,,
Benson,2015-03-29 01:26:29,Joanne C Benson,MDL000248,Joanne,C,24,md,Democratic,joanne.benson@senate.state.md.us,MDL000248,MDL000248,true,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-3621c.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=benson&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3148,"214 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3149",capitol,,,92179,6106,MDL000378,50b116caa0bb42cfad41bdf4f10a0bf3,,us,state,1437,MDL000425
Astle,2015-03-29 01:26:29,John C Astle,MDL000190,John,C,30,md,Democratic,john.astle@senate.state.md.us,MDL000190,MDL000190,true,http://mgaleg.maryland.gov/2015RS/images/astle.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=astle&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3578,"123 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3156",capitol,,,92160,6056,MDL000424,6f49a198988546769e2eb47d3661cb57,,us,state,1411,
Manno,2015-03-29 01:26:28,Roger Manno,MDL000321,Roger P.,,19,md,Democratic,roger.manno@senate.state.md.us,MDL000321,MDL000321,true,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-1621b.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=manno&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3151,"102 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3740",capitol,,,92437,68570,MDL000382,31e4f4a50cc143bab62e2b3fed99fbe9,,us,state,8836,MDL000450
McFadden,2015-03-29 01:26:29,Nathaniel J McFadden,MDL000219,Nathaniel,J,45,md,Democratic,nathaniel.mcfadden@senate.state.md.us,MDL000219,MDL000219,true,http://mgaleg.maryland.gov/2015RS/images/mcfadden.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=mcfadden&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3165,"422 Miller Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3138",capitol,,,92453,6084,MDL000452,5f48b383d88441b9b5cde64258ba5da1,,us,state,1427,
Ferguson,2015-03-29 01:26:27,William C Ferguson IV,MDL000379,William,C,46,md,Democratic,bill.ferguson@senate.state.md.us,MDL000379,MDL000379,true,http://mgaleg.maryland.gov/2015RS/images/ferguson.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ferguson&stab=01,2011-01-14 22:24:08,upper,,Capitol Office,410-841-3600,"401 Miller Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3161",capitol,,IV,,127356,MDL000434,2b6c544a320f4b448d26fd04b6b6d6f9,,us,state,,
Edwards,2015-03-29 01:26:29,George C Edwards,MDL000199,George,C,1,md,Republican,george.edwards@senate.state.md.us,MDL000199,MDL000199,true,http://mgaleg.maryland.gov/2015RS/images/edwards.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=edwards&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3565,"323 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3552",capitol,,,92276,6137,MDL000433,c3749d3501af4d46a16777b27fed7c3d,,us,state,1453,
Currie,2015-03-29 01:26:29,Ulysses Currie,MDL000195,Ulysses,,25,md,Democratic,ulysses.currie@senate.state.md.us,MDL000195,MDL000195,true,http://mgaleg.maryland.gov/2015RS/images/currie.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=currie&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3127,"201 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3733",capitol,,,92251,6065,MDL000430,363ebadb94cc4fd8b3846e126c08b0d5,,us,state,1413,
Montgomery,2015-03-29 01:26:29,Karen S Montgomery,MDL000331,Karen,S,14,md,Democratic,karen.montgomery@senate.state.md.us,MDL000331,MDL000331,true,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-162c.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=montgomery&stab=01,2010-08-27 22:54:38,upper,,Capitol Office,410-841-3625,"202 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3618",capitol,,,92474,36366,MDL000384,9bc983103ef24659894243bbf05d23ab,,us,state,5321,MDL000455
King,2015-03-29 01:26:28,Nancy J King,MDL000213,Nancy,J,39,md,Democratic,nancy.king@senate.state.md.us,MDL000213,MDL000213,true,http://mgaleg.maryland.gov/2015RS/images/king.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=king&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,301-858-3686,"223 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-6370",capitol,,,,36382,MDL000446,a185dcae90c54841a80ccd37d69581f6,,us,state,,
Nathan-Pulliam,2015-03-29 01:26:28,"Nathan-Pulliam, Shirley",MDL000678,Shirley,,44,md,Democratic,shirley.nathan.pulliam@senate.state.md.us,MDL000678,MDL000678,true,http://mgaleg.maryland.gov/2015RS/images/nathan.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=nathan&stab=01,2015-01-14 21:51:11,upper,,Capitol Office,410-841-3612,"304 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3100",capitol,,,,,,,,,,,
Salling,2015-03-29 01:26:29,"Salling, Johnny Ray",MDL000680,Johnny Ray,,6,md,Republican,JohnnyRay.Salling@senate.state.md.us,MDL000680,MDL000680,true,http://mgaleg.maryland.gov/2015RS/images/salling01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=salling01&stab=01,2015-01-14 21:51:11,upper,,Capitol Office,410-841-3587,"416 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401",capitol,,,,,,,,,,,
Pugh,2015-03-29 01:26:29,Catherine E Pugh,MDL000228,Catherine,E,40,md,Democratic,catherine.pugh@senate.state.md.us,MDL000228,MDL000228,true,http://mgaleg.maryland.gov/2015RS/images/pugh.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=pugh&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3656,"3 East Miller Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3738",capitol,,,92526,2031,MDL000460,d6298d5ae9dd4315843483de15edaf09,,us,state,70,
Miller,2015-03-29 01:26:29,"Thomas V. Mike Miller, Jr.",MDL000221,Thomas,V,27,md,Democratic,thomas.v.mike.miller@senate.state.md.us,MDL000221,MDL000221,true,http://mgaleg.maryland.gov/2015RS/images/miller t.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=miller%20t&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3700,"State House, H-107
100 State Circle
Annapolis, MD 21401
Fax: 410-841-3910 | 301-858-3901",capitol,,Jr.,92464,6087,MDL000454,3eebf91836c94974bc7788d44a04599d,Mike,us,state,1429,
Kagan,2015-03-29 01:26:28,"Kagan, Cheryl C.",MDL000624,Cheryl C.,,17,md,Democratic,,MDL000624,MDL000624,true,http://mgaleg.maryland.gov/2015RS/images/kagan01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kagan01&stab=01,2015-01-14 21:51:09,upper,,Capitol Office,410-841-3134,"203 James Senate Office Building
11 Bladen St.
Annapolis, MD 21401",capitol,,,,,,,,,,,
Pinsky,2015-03-29 01:26:29,Paul G Pinsky,MDL000226,Paul,G,22,md,Democratic,paul.pinsky@senate.state.md.us,MDL000226,MDL000226,true,http://mgaleg.maryland.gov/2015RS/images/pinsky.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=pinsky&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3155,"220 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3144",capitol,,,92519,6090,MDL000458,ef63392e9e9c4f2aaf3c66fb378b381c,,us,state,1431,
Waugh,2015-03-29 01:26:29,"Waugh, Steve",MDL000682,Steve,,29,md,Republican,Steve.Waugh@senate.state.md.us,MDL000682,MDL000682,true,http://mgaleg.maryland.gov/2015RS/images/waugh01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=waugh01&stab=01,2015-01-14 21:51:11,upper,,Capitol Office,410-841-3673,"2W Miller Senate Office Building
11 Bladen Street
Annapolis, MD 21401",capitol,,,,,,,,,,,
Bates,2015-03-29 01:26:29,"Bates, Gail H.",MDL000633,Gail H.,,9,md,Republican,gail.bates@senate.state.md.us,MDL000633,MDL000633,true,http://mgaleg.maryland.gov/2015RS/images/bates.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=bates&stab=01,2015-01-14 21:51:10,upper,,Capitol Office,410-841-3671,"401 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3571",capitol,,,,,,,,,,,
Guzzone,2015-03-29 01:26:28,"Guzzone, Guy",MDL000639,Guy,,13,md,Democratic,guy.guzzone@senate.state.md.us,MDL000639,MDL000639,true,http://mgaleg.maryland.gov/2015RS/images/guzzone.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=guzzone&stab=01,2015-01-14 21:51:10,upper,,Capitol Office,410-841-3572,"121 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3438 | 301-858-3438",capitol,,,,,,,,,,,
Norman,2015-03-29 01:26:28,"Norman, Wayne",MDL000627,Wayne,,35,md,Republican,wayne.norman@senate.state.md.us,MDL000627,MDL000627,true,http://mgaleg.maryland.gov/2015RS/images/norman.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=norman&stab=01,2015-01-14 21:51:09,upper,,Capitol Office,410-841-3603,"315 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3115",capitol,,,,,,,,,,,
Cassilly,2015-03-29 01:26:28,"Cassilly, Robert",MDL000646,Robert,,34,md,Republican,Bob.Cassilly@senate.state.md.us,MDL000646,MDL000646,true,http://mgaleg.maryland.gov/2015RS/images/cassilly02.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=cassilly02&stab=01,2015-01-14 21:51:10,upper,,Capitol Office,410-841-3158,"321 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401",capitol,,,,,MDL000704,,,,,,
Ready,2015-03-29 01:26:28,"Ready, Justin",MDL000710,Justin,,5,md,Republican,justin.ready@senate.state.md.us,MDL000710,MDL000710,true,http://mgaleg.maryland.gov/2015RS/images/ready01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ready01&stab=01,2015-02-03 00:37:10,upper,,Capitol Office,410-841-3683,"414 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401",capitol,,,,,,,,,,,
Zirkin,2015-03-29 01:26:29,Robert A Zirkin,MDL000236,Robert,A,11,md,Democratic,bobby.zirkin@senate.state.md.us,MDL000236,MDL000236,true,http://mgaleg.maryland.gov/2015RS/images/zirkin.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=zirkin&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3131,"2 East Miller Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3737",capitol,,,80747,19395,MDL000470,062aaacce95542ac87bab8540c834663,Bobby,us,state,139331,
Hershey,2015-03-29 01:26:29,Stephen S Hershey Jr.,MDL000396,Stephen,S,36,md,Republican,steve.hershey@senate.state.md.us,MDL000396,MDL000396,true,http://mgaleg.maryland.gov/2015RS/images/hershey.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=hershey&stab=01,2011-01-14 22:24:08,upper,,Capitol Office,410-841-3639,"420 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3762 | 301-858-3762",capitol,,Jr.,,127520,MDL000525,764d88b84de144edbe16f7315ab4d9e8,,us,state,,MDL000616
Gladden,2015-03-29 01:26:28,Lisa A Gladden,MDL000204,Lisa,A,41,md,Democratic,lisa.gladden@senate.state.md.us,MDL000204,MDL000204,true,http://mgaleg.maryland.gov/2015RS/images/gladden.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=gladden&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3697,"2 East Miller Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3142",capitol,,,92314,19082,MDL000439,248e111cbd8f4bd2b02b4e58d5900d22,,us,state,3474,
Young,2015-03-29 01:26:29,Ronald N Young,MDL000387,Ronald,N,3,md,Democratic,ronald.young@senate.state.md.us,MDL000387,MDL000387,true,http://mgaleg.maryland.gov/2015RS/images/young.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=young&stab=01,2011-01-14 22:24:08,upper,,Capitol Office,410-841-3575,"301 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3193",capitol,,,,126013,MDL000469,1f3f41404e8a4c138ba573557f4157a0,,us,state,,
Conway,2015-03-29 01:26:29,Joan Carter Conway,MDL000194,Joan Carter,,43,md,Democratic,joan.carter.conway@senate.state.md.us,MDL000194,MDL000194,true,http://mgaleg.maryland.gov/2015RS/images/conway j.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=conway%20j&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3145,"2 West Miller Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3135",capitol,,,92242,15199,MDL000429,d9590157217a44b9a03b45321868f059,,us,state,3119,
Kelley,2015-03-29 01:26:29,Delores G Kelley,MDL000212,Delores,G,10,md,Democratic,delores.kelley@senate.state.md.us,MDL000212,MDL000212,true,http://mgaleg.maryland.gov/2015RS/images/kelley.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kelley&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3606,"302 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3399",capitol,,,92397,6081,MDL000445,c8cc65d5664e43178eab58543baee911,,us,state,1425,
Jennings,2015-03-29 01:26:29,J. B. Jennings,MDL000303,Jonathan,B,7,md,Republican,jb.jennings@senate.state.md.us,MDL000303,MDL000303,true,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-194c.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=jennings&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3706,"423 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3750",capitol,,,92387,36305,MDL000381,669b23a925544c25957b19386847bbd7,,us,state,5301,MDL000442
Klausmeier,2015-03-29 01:26:29,Katherine A Klausmeier,MDL000215,Katherine,A,8,md,Democratic,katherine.klausmeier@senate.state.md.us,MDL000215,MDL000215,true,http://mgaleg.maryland.gov/2015RS/images/klausmeier.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=klausmeier&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3620,"103 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3085",capitol,,,92409,6175,MDL000448,847d1875287b42a79d1d9f43df3b051f,,us,state,1473,
DeGrange,2015-03-29 01:26:29,James E DeGrange Sr.,MDL000196,James,E,32,md,Democratic,james.degrange@senate.state.md.us,MDL000196,MDL000196,true,http://mgaleg.maryland.gov/2015RS/images/degrange.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=degrange&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3593,"101 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3589 | 301-858-3589",capitol,,Sr.,92259,19074,MDL000431,09a1f1c8c16a41a0a31cb0cd971932d4,,us,state,3471,
Peters,2015-03-29 01:26:28,Douglas J.J. Peters,MDL000225,Douglas,J.J.,23,md,Democratic,douglas.peters@senate.state.md.us,MDL000225,MDL000225,true,http://mgaleg.maryland.gov/2015RS/images/peters.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=peters&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3631,"120 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3174",capitol,,,92514,66382,MDL000457,1f1cb213ada843008344362997fd2bbb,,us,state,8520,
Simonaire,2015-03-29 01:26:29,Bryan W Simonaire,MDL000233,Bryan,W,31,md,Republican,bryan.simonaire@senate.state.md.us,MDL000233,MDL000233,true,http://mgaleg.maryland.gov/2015RS/images/simonaire.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=simonaire&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3658,"320 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3586",capitol,,,92574,67628,MDL000467,70533b6fe62d4c34b8786e7aa624c7d3,,us,state,8717,
