score2018,lifetimescore,full_name,district,party,email,leg_id,url,twitter
100,95,Guy Guzzone,13,D,guy.guzzone@senate.state.md.us,MDL000639,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=guzzone&stab=01,
100,98,Craig J. Zucker,14,D,craig.zucker@senate.state.md.us,MDL000331,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=zucker01&stab=01,GuyGuzzone
100,87,Brian J. Feldman,15,D,brian.feldman@senate.state.md.us,MDL000275,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=feldman&stab=01,BrianJFeldman
100,96,Susan C. Lee,16,D,susan.lee@senate.state.md.us,MDL000701,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=lee&stab=01,
89,97,Cheryl C. Kagan ,17,D,,MDL000624,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kagan01&stab=01,CherylKagan
100,93,Richard S. Madaleno Jr.,18,D,richard.madaleno@senate.state.md.us,MDL000218,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=madaleno&stab=01,RichMadaleno
100,100,Roger Manno,19,D,roger.manno@senate.state.md.us,MDL000321,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=manno&stab=01,RogerManno
100,100,William C. Smith,20,D,will.smith@senate.state.md.us,MDL000229,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=raskin&stab=01,willcsmithjr
100,98,Jim Rosapepe,21,D,jim.rosapepe@senate.state.md.us,MDL000232,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=rosapepe&stab=01,
100,99,Paul G. Pinsky,22,D,paul.pinsky@senate.state.md.us,MDL000226,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=pinsky&stab=01,paulpinsky
100,88,Douglas J.J. Peters,23,D,douglas.peters@senate.state.md.us,MDL000225,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=peters&stab=01,SenatorPeters
86,90,Joanne C. Benson,24,D,joanne.benson@senate.state.md.us,MDL000248,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=benson&stab=01,bensonteam24
100,79,Ulysses Currie,25,D,ulysses.currie@senate.state.md.us,MDL000195,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=currie&stab=01,
100,70,C. Anthony Muse,26,D,anthony.muse@senate.state.md.us,MDL000224,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=muse&stab=01,SenatorMuse
100,82,"Thomas V. Mike Miller, Jr.",27,D,thomas.v.mike.miller@senate.state.md.us,MDL000221,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=miller20t&stab=01,
86,77,Thomas M. Middleton,28,D,thomas.mcclain.middleton@senate.state.md.us,MDL000220,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=middleton&stab=01,
44,43, Steve Waugh,29,R,Steve.Waugh@senate.state.md.us,MDL000682,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=waugh01&stab=01,senatorwaugh
71,75,John C. Astle,30,D,john.astle@senate.state.md.us,MDL000190,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=astle&stab=01,votejohnastle
56,44,Bryan W. Simonaire,31,R,bryan.simonaire@senate.state.md.us,MDL000233,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=simonaire&stab=01,
80,62,James DeGrange Sr.,32,D,james.degrange@senate.state.md.us,MDL000196,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=degrange&stab=01,
100,39,Edward R. Reilly,33,R,edward.reilly@senate.state.md.us,MDL000230,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=reilly&stab=01,senatorreilly
80,50,Robert Cassilly,34,R,Bob.Cassilly@senate.state.md.us,MDL000646,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=cassilly02&stab=01,cassillyformd34
60,60,Linda Norman,35,R,linda.norman@senate.state.md.us,,http://mgaleg.maryland.gov/webmga/frmMain.aspx?stab=01&pid=sponpage&id=norman01&tab=subject6&ys=2018RS,
,28,Wayne Norman,35,R,wayne.norman@senate.state.md.us,MDL000627,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=norman&stab=01,delegatenorman
71,31,Stephen S. Hershey Jr.,36,R,steve.hershey@senate.state.md.us,MDL000396,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=hershey&stab=01,senatorhershey
60,39,Adelaide C. Eckardt,37,R,delaide.eckardt@senate.state.md.us,MDL000698,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=eckardt&stab=01,
86,75,James N. Mathias Jr.,38,D,james.mathias@senate.state.md.us,MDL000322,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=mathias&stab=01,senjimmathias
100,87,Nancy J. King,39,D,nancy.king@senate.state.md.us,MDL000213,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=king&stab=01,senatornjk
100,95,Barbara Robinson,40,D,barbara.robinson@senate.state.md.us,MDL000228,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=pugh&stab=01,senatorbar
,82,Nathaniel T. Oaks,41,D,nathaniel.oaks@senate.state.md.us,MDL000204,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=gladden&stab=01,
100,90,James Brochin,42,D,jim.brochin@senate.state.md.us,MDL000192,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=brochin&stab=01,jimbrochin
100,91,Joan Carter Conway,43,D,joan.carter.conway@senate.state.md.us,MDL000194,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=conway20j&stab=01,conway_joanEHE
100,93,Shirley Nathan-Pulliam ,44,D,shirley.nathan.pulliam@senate.state.md.us,MDL000678,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=nathan&stab=01,
100,79,Nathaniel J. McFadden,45,D,nathaniel.mcfadden@senate.state.md.us,MDL000219,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=mcfadden&stab=01,
100,95,Bill Ferguson,46,D,bill.ferguson@senate.state.md.us,MDL000379,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ferguson&stab=01,SenBillFerg
100,97,Victor R. Ramirez,47,D,victor.ramirez@senate.state.md.us,MDL000344,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ramirez&stab=01,VoteForRamirez
